ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
26431
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
148.986 189.927 3.16138 1
249.8 189.929 0 1
249.765 189.943 3.18481 1
251.235 188.37 1.66113 1
252.624 189.931 0 1
252.904 189.923 3.12664 1
147.47 191.481 1.6102 1
146.157 193.215 0 1
145.93 193.115 3.12426 1
150.542 191.512 1.56812 1
148.969 193.077 0 1
148.971 193.043 3.17176 1
249.815 193.078 0 1
249.794 193.095 3.17204 1
251.287 191.513 1.65225 1
252.674 193.072 0 1
252.929 193.082 3.13064 1
147.543 194.68 1.66254 1
146.163 196.249 0 1
145.879 196.235 3.1253 1
148.982 196.235 0 1
149.022 196.242 3.1889 1
249.824 196.229 0 1
249.807 196.236 3.16626 1
251.324 194.668 1.63326 1
252.763 196.235 0 1
252.919 196.217 3.15443 1
147.511 197.816 1.65825 1
146.15 199.386 0 1
145.868 199.386 3.12888 1
148.98 199.386 0 1
149.014 199.386 3.18587 1
249.817 199.379 0 1
249.792 199.379 3.159 1
251.349 197.799 1.6244 1
254.317 197.872 1.57962 1
252.739 199.394 0 1
252.876 199.398 3.17328 1
147.511 200.956 1.65822 1
146.162 202.523 0 1
145.878 202.537 3.12523 1
148.982 202.537 0 1
149.021 202.53 3.18877 1
249.815 202.547 0 1
249.789 202.545 3.15983 1
251.314 200.963 1.61018 1
254.327 200.966 1.56414 1
252.735 202.534 0 1
252.874 202.53 3.17374 1
147.542 204.092 1.66244 1
146.155 205.556 0 1
145.928 205.657 3.12417 1
148.967 205.696 0 1
148.969 205.73 3.17145 1
249.818 205.696 0 1
249.796 205.685 3.17002 1
251.342 204.126 1.62709 1
254.311 204.059 1.57866 1
252.749 205.69 0 1
252.911 205.711 3.15544 1
147.468 207.292 1.61012 1
150.539 207.262 1.56759 1
149.052 208.841 0 1
148.983 208.846 3.1608 1
249.804 208.846 0 1
249.774 208.826 3.17903 1
251.307 207.251 1.6396 1
252.644 208.842 0 1
252.908 208.842 3.12951 1
147.526 210.434 1.58046 1
150.572 210.407 1.58612 1
149.137 211.989 0 1
149.03 211.984 3.16666 1
249.802 212 0 1
249.799 212.023 3.17419 1
251.245 210.401 1.65865 1
252.604 211.899 0 1
252.841 211.974 3.12548 1
147.595 213.534 1.58763 1
150.58 213.57 1.62109 1
149.183 215.137 0 1
149.028 215.168 3.15311 1
152.117 215.153 0 1
152.138 215.13 3.17175 1
248.225 213.557 1.57476 1
249.692 215.128 0 1
249.75 215.137 3.17367 1
251.28 213.598 1.62358 1
150.656 216.696 1.64254 1
149.313 218.224 0 1
149.082 218.271 3.12694 1
152.127 218.306 0 1
152.125 218.314 3.16816 1
246.655 218.299 0 1
246.635 218.271 3.17201 1
248.206 216.712 1.61111 1
249.622 218.272 0 1
249.755 218.309 3.15313 1
251.208 216.674 1.60487 1
150.648 219.898 1.63202 1
153.714 219.851 1.58033 1
152.25 221.406 0 1
152.199 221.42 3.177 1
246.639 221.446 0 1
246.641 221.457 3.16799 1
248.118 219.827 1.64466 1
249.491 221.321 0 1
249.71 221.389 3.12865 1
150.701 222.916 1.61201 1
153.761 222.995 1.62453 1
152.321 224.458 0 1
152.189 224.564 3.14269 1
155.275 224.605 0 1
155.266 224.615 3.16101 1
243.505 224.598 0 1
243.489 224.565 3.17039 1
245.079 223.015 1.5974 1
246.518 224.577 0 1
246.624 224.61 3.1592 1
248.125 223.004 1.62661 1
153.768 226.151 1.61379 1
156.839 226.171 1.59475 1
155.393 227.731 0 1
155.289 227.759 3.1521 1
158.418 227.753 0 1
158.433 227.719 3.16919 1
243.484 227.733 0 1
243.485 227.738 3.16892 1
244.977 226.113 1.64338 1
246.342 227.615 0 1
246.585 227.655 3.13201 1
156.942 229.267 1.64271 1
155.582 230.774 0 1
155.34 230.814 3.13169 1
158.443 230.888 0 1
158.44 230.891 3.16827 1
240.35 230.89 0 1
240.363 230.905 3.16031 1
241.896 229.292 1.61831 1
243.369 230.733 0 1
243.46 230.864 3.15267 1
244.995 229.268 1.64256 1
156.932 232.424 1.64219 1
160.032 232.445 1.61875 1
158.561 233.887 0 1
158.469 234.018 3.15272 1
161.58 234.041 0 1
161.567 234.057 3.16086 1
237.203 234.049 0 1
237.216 234.062 3.15779 1
238.758 232.451 1.61339 1
240.219 233.91 0 1
240.33 234.019 3.14004 1
241.881 232.416 1.6064 1
160.05 235.568 1.60679 1
163.173 235.601 1.61398 1
161.713 237.06 0 1
161.603 237.169 3.14099 1
164.73 237.196 0 1
164.717 237.209 3.15915 1
234.049 237.203 0 1
234.062 237.216 3.15779 1
235.608 235.608 1.6133 1
237.068 237.068 0 1
237.178 237.178 3.14007 1
238.733 235.577 1.60901 1
163.201 238.725 1.61 1
166.327 238.749 1.61472 1
164.867 240.208 0 1
164.758 240.32 3.14251 1
166.359 241.866 1.61196 1
167.887 240.338 0 1
167.873 240.35 3.16277 1
169.488 241.87 1.62695 1
172.621 241.924 1.57644 1
230.89 240.35 0 1
230.905 240.363 3.16031 1
229.292 241.896 1.61831 1
232.451 238.758 1.61339 1
233.91 240.219 0 1
234.019 240.33 3.14004 1
232.416 241.881 1.6064 1
235.577 238.733 1.60901 1
168.038 243.321 0 1
167.926 243.451 3.14184 1
169.558 244.951 1.60995 1
171.06 243.389 0 1
171.065 243.455 3.16643 1
174.16 243.524 0 1
174.156 243.536 3.15421 1
172.584 245.038 1.60718 1
175.764 245.052 1.61307 1
224.598 243.505 0 1
224.565 243.489 3.17039 1
223.015 245.079 1.5974 1
227.733 243.484 0 1
227.738 243.485 3.16892 1
226.113 244.977 1.64338 1
230.733 243.369 0 1
230.864 243.46 3.15267 1
229.268 244.995 1.64256 1
174.179 246.596 3.15195 1
174.284 246.493 0 1
177.337 246.627 0 1
177.324 246.629 3.17091 1
175.786 248.123 1.63345 1
180.477 246.648 0 1
180.506 246.627 3.17395 1
178.952 248.11 1.6469 1
182.063 248.201 1.61189 1
185.216 248.22 1.5751 1
213.557 248.225 1.57476 1
218.299 246.655 0 1
218.271 246.635 3.17201 1
216.712 248.206 1.61111 1
221.446 246.639 0 1
221.457 246.641 3.16799 1
219.827 248.118 1.64466 1
224.577 246.518 0 1
224.61 246.624 3.1592 1
223.004 248.125 1.62661 1
227.615 246.342 0 1
227.655 246.585 3.13201 1
177.4 249.714 3.1292 1
177.458 249.479 0 1
180.503 249.615 0 1
180.466 249.75 3.15385 1
183.645 249.685 0 1
183.637 249.745 3.17394 1
182.101 251.203 1.60426 1
186.773 249.796 0 1
186.747 249.793 3.17599 1
185.174 251.274 1.62213 1
189.929 249.8 0 1
189.943 249.765 3.18481 1
188.37 251.235 1.66113 1
193.078 249.815 0 1
193.095 249.794 3.17204 1
191.513 251.287 1.65225 1
196.229 249.824 0 1
196.236 249.807 3.16626 1
194.668 251.324 1.63326 1
199.379 249.817 0 1
199.379 249.792 3.159 1
197.799 251.349 1.6244 1
202.547 249.815 0 1
202.545 249.789 3.15983 1
200.963 251.314 1.61018 1
205.696 249.818 0 1
205.685 249.796 3.17002 1
204.126 251.342 1.62709 1
208.846 249.804 0 1
208.826 249.774 3.17903 1
207.251 251.307 1.6396 1
212 249.802 0 1
212.023 249.799 3.17419 1
210.401 251.245 1.65865 1
215.128 249.692 0 1
215.137 249.75 3.17367 1
213.598 251.28 1.62358 1
218.272 249.622 0 1
218.309 249.755 3.15313 1
216.674 251.208 1.60487 1
221.321 249.491 0 1
221.389 249.71 3.12865 1
186.879 252.598 0 1
186.796 252.835 3.12432 1
189.931 252.624 0 1
189.923 252.904 3.12664 1
193.072 252.674 0 1
193.082 252.929 3.13064 1
196.235 252.763 0 1
196.217 252.919 3.15443 1
197.872 254.317 1.57962 1
199.394 252.739 0 1
199.398 252.876 3.17328 1
200.966 254.327 1.56414 1
202.534 252.735 0 1
202.53 252.874 3.17374 1
204.059 254.311 1.57866 1
205.69 252.749 0 1
205.711 252.911 3.15544 1
208.842 252.644 0 1
208.842 252.908 3.12951 1
211.899 252.604 0 1
211.974 252.841 3.12548 1
185.214 147.493 4.69498 1
188.348 147.41 4.70205 1
191.485 147.395 4.7155 1
193.097 145.872 6.26836 1
194.66 147.405 4.72563 1
196.23 145.81 6.2708 1
197.811 147.382 4.72977 1
199.386 145.799 6.27296 1
200.961 147.381 4.7297 1
202.542 145.809 6.27067 1
204.112 147.404 4.72541 1
205.675 145.871 6.26814 1
207.288 147.393 4.71515 1
210.426 147.406 4.7015 1
213.56 147.489 4.6947 1
178.903 150.587 4.71123 1
180.501 149.02 6.27 1
182.057 150.562 4.73354 1
183.601 148.967 6.28416 1
185.179 150.513 4.74021 1
186.776 148.95 6.29589 1
188.358 150.533 4.74138 1
189.922 148.913 6.29967 1
191.495 150.516 4.73845 1
193.049 148.898 6.30486 1
196.231 148.932 6.3107 1
199.386 148.927 6.31239 1
202.541 148.931 6.31051 1
205.724 148.896 6.30445 1
207.279 150.514 4.73784 1
208.851 148.91 6.29905 1
210.417 150.529 4.74027 1
211.998 148.946 6.29515 1
213.597 150.507 4.73924 1
215.176 148.961 6.28341 1
216.725 150.551 4.7315 1
218.292 149.024 6.27038 1
219.891 150.566 4.71199 1
222.961 150.616 4.69118 1
172.612 153.729 4.70678 1
174.205 152.158 6.26886 1
175.76 153.703 4.7338 1
177.297 152.096 6.28834 1
178.868 153.651 4.73834 1
180.442 152.076 6.30631 1
183.618 152.084 6.314 1
215.158 152.075 6.31177 1
218.329 152.059 6.30662 1
219.866 153.69 4.74618 1
221.443 152.108 6.29899 1
223.043 153.687 4.73939 1
224.594 152.125 6.27297 1
226.178 153.718 4.71204 1
166.366 156.907 4.69652 1
169.422 156.843 4.72054 1
171.002 155.268 6.28123 1
172.565 156.813 4.73712 1
174.142 155.228 6.30477 1
177.312 155.229 6.31357 1
224.644 155.216 6.30607 1
226.206 156.792 4.73324 1
227.779 155.239 6.28581 1
229.306 156.849 4.73013 1
230.857 155.3 6.26738 1
232.442 156.87 4.704 1
163.172 160.02 4.70951 1
166.289 159.987 4.73658 1
164.738 158.427 6.27284 1
169.455 159.981 4.7413 1
167.878 158.406 6.30085 1
170.978 158.35 6.30627 1
227.761 158.378 6.31134 1
230.925 158.381 6.30256 1
232.496 159.973 4.73676 1
234.049 158.412 6.27511 1
235.614 160.01 4.71079 1
160.02 163.172 4.70951 1
163.128 163.128 4.73718 1
161.572 161.572 6.27747 1
166.287 163.135 4.73392 1
164.688 161.534 6.30567 1
167.854 161.545 6.31185 1
234.095 161.524 6.30414 1
235.657 163.117 4.73362 1
237.213 161.561 6.27694 1
238.768 163.159 4.70714 1
156.907 166.366 4.69652 1
159.987 166.289 4.73658 1
158.427 164.738 6.27284 1
163.135 166.287 4.73392 1
161.534 164.688 6.30567 1
164.694 164.694 6.31083 1
237.252 164.676 6.30352 1
238.807 166.271 4.73402 1
240.366 164.719 6.27561 1
241.915 166.32 4.70732 1
156.843 169.422 4.72054 1
159.981 169.455 4.7413 1
158.406 167.878 6.30085 1
161.545 167.854 6.31185 1
240.4 167.837 6.30337 1
241.944 169.44 4.73495 1
243.506 167.891 6.27091 1
245.024 169.519 4.69448 1
153.729 172.612 4.70678 1
155.268 171.002 6.28123 1
156.813 172.565 4.73712 1
155.228 174.142 6.30477 1
158.35 170.978 6.30627 1
243.525 171.031 6.2992 1
241.948 172.606 4.74026 1
243.578 174.131 6.30551 1
245.086 172.576 4.71966 1
246.659 174.157 6.28015 1
152.158 174.205 6.26886 1
153.703 175.76 4.7338 1
152.096 177.297 6.28834 1
155.229 177.312 6.31357 1
245.111 175.718 4.73714 1
246.694 177.297 6.30398 1
248.195 175.769 4.70579 1
249.764 177.365 6.26664 1
150.587 178.903 4.71123 1
149.02 180.501 6.27 1
153.651 178.868 4.73834 1
152.076 180.442 6.30631 1
246.689 180.469 6.31429 1
248.214 178.915 4.73268 1
249.814 180.455 6.28432 1
150.562 182.057 4.73354 1
148.967 183.601 6.28416 1
152.084 183.618 6.314 1
248.262 182.027 4.74081 1
249.828 183.622 6.30043 1
251.296 182.074 4.69903 1
147.493 185.214 4.69498 1
150.513 185.179 4.74021 1
148.95 186.776 6.29589 1
248.242 185.199 4.74468 1
249.869 186.747 6.30585 1
251.36 185.178 4.71568 1
252.894 186.78 6.26806 1
147.41 188.348 4.70205 1
150.533 188.358 4.74138 1
148.913 189.922 6.29967 1
249.849 189.927 6.30947 1
251.37 188.353 4.72551 1
252.97 189.916 6.27205 1
147.395 191.485 4.7155 1
145.872 193.097 6.26836 1
150.516 191.495 4.73845 1
148.898 193.049 6.30486 1
249.862 193.078 6.31155 1
251.407 191.506 4.72875 1
252.993 193.075 6.27765 1
147.405 194.66 4.72563 1
145.81 196.23 6.2708 1
148.932 196.231 6.3107 1
249.865 196.223 6.31403 1
251.419 194.652 4.73545 1
252.986 196.215 6.28748 1
147.382 197.811 4.72977 1
145.799 199.386 6.27296 1
148.927 199.386 6.31239 1
249.844 199.373 6.31366 1
251.422 197.779 4.74292 1
254.441 197.839 4.69458 1
252.969 199.39 6.2961 1
147.381 200.961 4.7297 1
145.809 202.542 6.27067 1
148.931 202.541 6.31051 1
249.842 202.552 6.31402 1
251.371 200.963 4.75042 1
254.489 200.965 4.69615 1
252.967 202.539 6.29609 1
147.404 204.112 4.72541 1
145.871 205.675 6.26814 1
148.896 205.724 6.30445 1
249.858 205.703 6.31502 1
251.417 204.148 4.74377 1
254.437 204.092 4.6944 1
252.979 205.714 6.28701 1
147.393 207.288 4.71515 1
150.514 207.279 4.73784 1
148.91 208.851 6.29905 1
249.849 208.849 6.3112 1
251.407 207.272 4.73614 1
252.974 208.853 6.27551 1
147.406 210.426 4.7015 1
150.529 210.417 4.74027 1
148.946 211.998 6.29515 1
249.873 212.026 6.30566 1
251.375 210.418 4.72603 1
252.898 211.991 6.26893 1
147.489 213.56 4.6947 1
150.507 213.597 4.73924 1
148.961 215.176 6.28341 1
152.075 215.158 6.31177 1
248.247 213.574 4.74336 1
249.832 215.151 6.30006 1
251.365 213.594 4.71552 1
150.551 216.725 4.7315 1
149.024 218.292 6.27038 1
152.059 218.329 6.30662 1
246.696 218.306 6.31282 1
248.268 216.747 4.7401 1
249.818 218.321 6.28448 1
251.299 216.701 4.69903 1
150.566 219.891 4.71199 1
153.69 219.866 4.74618 1
152.108 221.443 6.29899 1
246.703 221.479 6.30418 1
248.221 219.863 4.73196 1
249.762 221.421 6.26876 1
150.616 222.961 4.69118 1
153.687 223.043 4.73939 1
152.125 224.594 6.27297 1
155.216 224.644 6.30607 1
243.545 224.605 6.3125 1
245.127 223.05 4.7359 1
246.682 224.621 6.28507 1
248.194 223.016 4.70915 1
153.718 226.178 4.71204 1
156.792 226.206 4.73324 1
155.239 227.779 6.28581 1
158.378 227.761 6.31134 1
243.545 227.771 6.30314 1
245.071 226.153 4.73266 1
246.628 227.698 6.26583 1
156.849 229.306 4.73013 1
155.3 230.857 6.26738 1
158.381 230.925 6.30256 1
240.407 230.943 6.30345 1
241.955 229.343 4.73678 1
243.519 230.893 6.27474 1
245.058 229.286 4.70409 1
156.87 232.442 4.704 1
159.973 232.496 4.73676 1
158.412 234.049 6.27511 1
161.524 234.095 6.30414 1
237.259 234.104 6.30176 1
238.815 232.507 4.7325 1
240.372 234.061 6.27587 1
241.922 232.461 4.71017 1
