ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
116135
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
193.076 164.684 0 1
193.076 164.682 3.11793 1
194.654 166.258 1.54149 1
196.232 164.683 0 1
196.231 164.681 3.11766 1
197.809 166.257 1.54138 1
199.387 164.683 0 1
199.387 164.681 3.11755 1
200.965 166.257 1.54136 1
202.542 164.683 0 1
202.542 164.681 3.11761 1
204.12 166.258 1.54144 1
205.697 164.683 0 1
205.698 164.681 3.11782 1
207.275 166.258 1.54161 1
208.852 164.684 0 1
208.853 164.682 3.11819 1
210.431 166.259 1.54189 1
212.007 164.685 0 1
212.008 164.684 3.11873 1
213.585 166.261 1.54227 1
215.161 164.687 0 1
215.162 164.685 3.11944 1
216.74 166.262 1.54277 1
218.315 164.689 0 1
218.316 164.687 3.12038 1
219.893 166.264 1.54341 1
221.467 164.691 0 1
221.469 164.689 3.12165 1
223.045 166.267 1.54423 1
224.619 164.695 0 1
224.62 164.693 3.12354 1
226.197 166.27 1.54535 1
227.769 164.7 0 1
227.77 164.698 3.12615 1
229.348 166.274 1.54673 1
230.92 164.702 0 1
230.917 164.705 3.13317 1
232.496 166.278 1.54887 1
234.072 164.702 0 1
234.055 164.72 3.15258 1
235.637 166.289 1.56249 1
163.136 169.442 1.55109 1
164.711 167.863 0 1
166.28 169.434 1.54762 1
164.714 167.866 3.13513 1
167.857 167.857 0 1
169.427 169.427 1.54576 1
167.856 167.856 3.12691 1
171.005 167.851 0 1
171.003 167.849 3.12371 1
172.577 169.422 1.54435 1
174.154 167.845 0 1
174.153 167.844 3.12149 1
175.728 169.418 1.54329 1
177.305 167.842 0 1
177.304 167.84 3.11991 1
178.88 169.416 1.54249 1
180.457 167.839 0 1
180.456 167.838 3.11876 1
182.033 169.414 1.54187 1
183.611 167.838 0 1
183.61 167.836 3.11788 1
185.187 169.412 1.54139 1
186.765 167.836 0 1
186.765 167.835 3.11721 1
188.342 169.411 1.54103 1
189.92 167.835 0 1
189.92 167.834 3.1167 1
191.498 169.41 1.54076 1
193.076 167.834 0 1
193.075 167.833 3.11634 1
194.653 169.41 1.54058 1
196.231 167.834 0 1
196.231 167.832 3.11611 1
197.809 169.409 1.54048 1
199.387 167.833 0 1
199.387 167.832 3.11602 1
200.965 169.409 1.54046 1
202.543 167.833 0 1
202.543 167.832 3.11607 1
204.121 169.409 1.54053 1
205.698 167.834 0 1
205.698 167.832 3.11625 1
207.276 169.41 1.54068 1
208.854 167.835 0 1
208.854 167.833 3.11656 1
210.432 169.41 1.54092 1
212.009 167.836 0 1
212.009 167.834 3.11703 1
213.587 169.411 1.54126 1
215.163 167.837 0 1
215.164 167.835 3.11765 1
216.742 169.413 1.5417 1
218.317 167.838 0 1
218.318 167.837 3.11847 1
219.896 169.414 1.54226 1
221.471 167.841 0 1
221.472 167.839 3.11953 1
223.049 169.416 1.54299 1
224.623 167.843 0 1
224.624 167.841 3.12093 1
226.201 169.419 1.54392 1
227.775 167.846 0 1
227.776 167.844 3.12274 1
229.352 169.422 1.54508 1
230.925 167.849 0 1
230.926 167.848 3.12555 1
232.501 169.425 1.54663 1
234.073 167.853 0 1
234.071 167.856 3.1328 1
235.647 169.431 1.54909 1
237.221 167.856 0 1
237.203 167.873 3.15306 1
238.781 169.446 1.56419 1
159.976 172.585 1.55747 1
158.397 174.152 0 1
158.416 174.17 3.15093 1
161.552 171.012 0 1
161.558 171.022 3.13987 1
163.124 172.585 1.54772 1
161.545 174.157 0 1
161.546 174.159 3.12994 1
164.702 171.01 0 1
164.702 171.01 3.12757 1
166.273 172.581 1.54573 1
164.695 174.157 0 1
164.694 174.156 3.12406 1
167.851 171.005 0 1
167.849 171.003 3.12371 1
169.422 172.577 1.54435 1
167.845 174.154 0 1
167.844 174.153 3.12149 1
171 171 0 1
170.999 170.999 3.12138 1
174.151 170.996 0 1
174.15 170.995 3.11965 1
170.996 174.151 0 1
170.995 174.15 3.11965 1
172.573 172.573 1.54322 1
174.148 174.148 0 1
174.147 174.147 3.11819 1
177.303 170.993 0 1
177.302 170.992 3.11831 1
175.725 172.57 1.54231 1
177.301 174.145 0 1
177.3 174.144 3.11702 1
180.456 170.991 0 1
180.455 170.989 3.11728 1
178.878 172.568 1.54159 1
180.454 174.144 0 1
180.453 174.143 3.11609 1
183.61 170.989 0 1
183.609 170.988 3.11648 1
182.032 172.566 1.54103 1
183.609 174.142 0 1
183.608 174.141 3.11536 1
186.764 170.988 0 1
186.764 170.987 3.11587 1
185.186 172.565 1.54059 1
186.764 174.141 0 1
186.763 174.14 3.11479 1
189.92 170.987 0 1
189.919 170.986 3.11541 1
188.341 172.564 1.54026 1
189.919 174.14 0 1
189.919 174.139 3.11437 1
193.075 170.986 0 1
193.075 170.985 3.11508 1
191.497 172.563 1.54001 1
193.075 174.14 0 1
193.075 174.139 3.11406 1
196.231 170.986 0 1
196.231 170.985 3.11488 1
194.653 172.562 1.53984 1
196.231 174.139 0 1
196.231 174.139 3.11388 1
199.387 170.986 0 1
199.387 170.985 3.11479 1
197.809 172.562 1.53975 1
199.387 174.139 0 1
199.387 174.138 3.1138 1
202.543 170.986 0 1
202.543 170.985 3.11483 1
200.965 172.562 1.53974 1
202.543 174.139 0 1
202.543 174.138 3.11383 1
205.699 170.986 0 1
205.699 170.985 3.11499 1
204.121 172.562 1.5398 1
205.699 174.139 0 1
205.7 174.139 3.11397 1
208.855 170.987 0 1
208.855 170.985 3.11527 1
207.277 172.563 1.53993 1
208.855 174.14 0 1
208.856 174.139 3.11422 1
212.01 170.987 0 1
212.011 170.986 3.11568 1
210.433 172.563 1.54015 1
212.011 174.14 0 1
212.012 174.139 3.1146 1
215.165 170.988 0 1
215.166 170.987 3.11624 1
213.588 172.564 1.54045 1
215.167 174.141 0 1
215.167 174.14 3.1151 1
218.32 170.99 0 1
218.32 170.988 3.11697 1
216.743 172.565 1.54085 1
218.321 174.142 0 1
218.322 174.141 3.11576 1
221.473 170.991 0 1
221.475 170.99 3.1179 1
219.898 172.566 1.54136 1
221.476 174.143 0 1
221.476 174.142 3.11659 1
224.626 170.993 0 1
224.628 170.992 3.11907 1
223.052 172.568 1.542 1
224.629 174.145 0 1
224.63 174.144 3.11764 1
227.778 170.996 0 1
