ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
660
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
180.568 92.4518 0 1
183.62 92.4354 0 1
186.763 92.401 0 1
189.918 92.3648 0 1
193.087 92.2773 0 1
196.251 92.2888 0 1
199.399 92.2714 0 1
202.546 92.2885 0 1
205.711 92.2767 0 1
208.879 92.3637 0 1
212.034 92.3991 0 1
215.175 92.4308 0 1
218.213 92.432 0 1
167.916 95.616 0 1
170.982 95.5569 0 1
174.141 95.407 0 1
177.31 95.3571 0 1
180.451 95.2539 0 1
183.614 95.2552 0 1
186.769 95.2398 0 1
189.922 95.2292 0 1
193.078 95.2235 0 1
196.232 95.2337 0 1
199.399 95.2469 0 1
202.566 95.2333 0 1
205.72 95.2227 0 1
208.876 95.2279 0 1
212.03 95.2375 0 1
215.185 95.2505 0 1
218.349 95.2435 0 1
221.497 95.3345 0 1
224.649 95.4226 0 1
227.797 95.468 0 1
230.879 95.5821 0 1
161.637 98.6132 0 1
164.71 98.5386 0 1
167.826 98.4152 0 1
170.981 98.4042 0 1
174.132 98.3851 0 1
177.286 98.3799 0 1
180.448 98.3788 0 1
183.609 98.3786 0 1
186.769 98.3739 0 1
189.926 98.3679 0 1
193.081 98.3661 0 1
196.237 98.3697 0 1
199.399 98.3731 0 1
202.56 98.3693 0 1
205.717 98.3653 0 1
208.872 98.3665 0 1
212.029 98.3716 0 1
215.19 98.3749 0 1
218.348 98.3763 0 1
221.505 98.3904 0 1
224.669 98.3907 0 1
227.819 98.3954 0 1
230.979 98.4034 0 1
234.109 98.5214 0 1
237.257 98.6 0 1
240.312 98.7309 0 1
152.174 101.885 0 1
155.226 101.751 0 1
158.372 101.663 0 1
161.502 101.538 0 1
164.66 101.542 0 1
167.822 101.539 0 1
170.981 101.533 0 1
174.137 101.525 0 1
177.292 101.519 0 1
180.449 101.517 0 1
183.608 101.515 0 1
218.347 101.517 0 1
221.504 101.524 0 1
224.663 101.527 0 1
227.821 101.53 0 1
230.978 101.534 0 1
234.136 101.542 0 1
237.284 101.557 0 1
240.437 101.577 0 1
243.574 101.702 0 1
246.636 101.874 0 1
145.87 105.037 0 1
148.919 104.86 0 1
152.052 104.733 0 1
155.202 104.71 0 1
158.348 104.69 0 1
161.504 104.68 0 1
164.661 104.678 0 1
167.82 104.677 0 1
230.978 104.676 0 1
234.134 104.682 0 1
237.291 104.688 0 1
240.454 104.685 0 1
243.601 104.703 0 1
