ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
800
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
290.773 139.752 0 1
288.219 140.989 0 1
107.527 143.573 0 1
111.364 142.267 0 1
110.07 144.809 0 1
116.447 144.805 0 1
113.902 143.533 0 1
117.728 142.252 0 1
283.14 143.525 0 1
286.965 144.805 0 1
285.685 142.254 0 1
289.502 143.538 0 1
293.338 144.846 0 1
292.045 142.303 0 1
107.496 149.91 0 1
104.952 148.642 0 1
106.232 146.098 0 1
111.33 148.634 0 1
108.779 147.359 0 1
112.616 146.083 0 1
284.42 146.078 0 1
289.534 149.908 0 1
288.25 147.356 0 1
290.795 146.081 0 1
292.085 148.632 0 1
294.633 147.372 0 1
295.911 149.916 0 1
102.4 153.742 0 1
103.675 151.191 0 1
106.217 152.463 0 1
110.049 151.187 0 1
108.769 153.74 0 1
290.815 152.461 0 1
294.645 153.739 0 1
293.367 151.185 0 1
297.186 152.464 0 1
103.666 157.574 0 1
101.13 156.291 0 1
107.492 156.294 0 1
104.94 155.017 0 1
293.369 157.572 0 1
292.093 155.016 0 1
299.701 157.563 0 1
298.456 155.013 0 1
295.92 156.296 0 1
99.8853 158.842 0 1
98.6255 161.402 0 1
102.399 160.136 0 1
104.946 161.408 0 1
106.217 158.85 0 1
294.641 160.129 0 1
298.447 161.417 0 1
297.188 158.857 0 1
300.961 160.123 0 1
99.8688 165.251 0 1
97.347 163.949 0 1
96.0869 166.526 0 1
102.4 166.52 0 1
103.675 163.967 0 1
101.139 162.696 0 1
294.643 166.516 0 1
293.367 163.961 0 1
299.718 163.973 0 1
297.187 165.242 0 1
295.912 162.688 0 1
303.5 165.247 0 1
300.981 166.527 0 1
302.24 162.67 0 1
94.8545 169.097 0 1
98.6061 167.806 0 1
97.3496 170.366 0 1
103.67 170.35 0 1
101.13 169.076 0 1
104.944 167.795 0 1
299.726 170.355 0 1
298.458 167.798 0 1
295.917 169.071 0 1
302.238 169.088 0 1
304.733 167.819 0 1
99.8612 171.633 0 1
98.5557 174.17 0 1
96.0171 172.876 0 1
102.396 172.905 0 1
298.48 174.175 0 1
297.191 171.627 0 1
301.032 172.893 0 1
303.571 171.598 0 1
304.812 174.141 0 1
93.5298 177.98 0 1
94.7754 175.418 0 1
99.8357 178.008 0 1
97.2888 176.726 0 1
101.108 175.453 0 1
299.752 176.73 0 1
303.549 178.009 0 1
302.299 175.449 0 1
306.058 176.703 0 1
94.7891 181.841 0 1
92.3004 180.533 0 1
98.5691 180.566 0 1
97.3015 183.121 0 1
96.0397 179.285 0 1
101.111 181.845 0 1
299.75 183.121 0 1
298.477 180.567 0 1
302.287 181.844 0 1
301.019 179.289 0 1
306.098 183.076 0 1
307.288 179.256 0 1
304.8 180.565 0 1
92.2361 186.901 0 1
93.4909 184.351 0 1
99.8371 184.4 0 1
98.5525 186.948 0 1
96.0061 185.661 0 1
301.035 185.669 0 1
303.583 184.385 0 1
304.838 186.937 0 1
307.354 185.628 0 1
91.0211 189.459 0 1
93.5109 190.769 0 1
94.7514 188.213 0 1
99.8239 190.788 0 1
97.2822 189.503 0 1
299.761 189.508 0 1
303.567 190.778 0 1
302.305 188.224 0 1
306.078 189.492 0 1
308.57 188.188 0 1
90.9697 195.831 0 1
94.7233 194.599 0 1
92.2177 193.28 0 1
98.5508 193.343 0 1
96.0184 192.059 0 1
302.316 194.612 0 1
301.033 192.063 0 1
307.37 191.998 0 1
304.859 193.318 0 1
308.614 194.54 0 1
92.2048 199.677 0 1
93.4672 197.147 0 1
99.8091 197.179 0 1
98.5327 199.732 0 1
95.9926 198.442 0 1
97.2644 195.89 0 1
301.046 198.456 0 1
303.585 197.168 0 1
304.853 199.724 0 1
307.346 198.418 0 1
306.11 195.869 0 1
309.826 197.079 0 1
90.9626 202.23 0 1
93.468 203.532 0 1
94.7149 200.986 0 1
99.7993 203.573 0 1
97.2543 202.283 0 1
303.598 203.561 0 1
302.32 201.01 0 1
306.131 202.264 0 1
309.833 203.48 0 1
308.643 200.934 0 1
94.7092 207.387 0 1
92.2134 206.055 0 1
98.5263 206.128 0 1
95.987 204.838 0 1
302.328 207.406 0 1
301.057 204.851 0 1
307.356 204.827 0 1
304.858 206.117 0 1
308.649 207.359 0 1
90.9826 208.594 0 1
93.4676 209.94 0 1
92.2047 212.492 0 1
99.7938 209.969 0 1
95.982 211.233 0 1
97.249 208.68 0 1
299.788 208.696 0 1
301.065 211.251 0 1
303.603 209.955 0 1
307.372 211.179 0 1
306.129 208.65 0 1
93.4879 216.304 0 1
94.7277 213.773 0 1
99.7969 216.367 0 1
97.2558 215.073 0 1
98.5216 212.522 0 1
299.796 215.095 0 1
303.607 216.366 0 1
302.339 213.807 0 1
306.108 215.05 0 1
304.873 212.503 0 1
308.601 213.718 0 1
94.7596 220.167 0 1
92.2614 218.843 0 1
98.5275 218.921 0 1
95.9915 217.621 0 1
101.069 220.215 0 1
298.521 218.934 0 1
302.336 220.203 0 1
301.068 217.651 0 1
307.36 217.588 0 1
304.858 218.916 0 1
93.5104 222.705 0 1
99.7997 222.77 0 1
96.022 224.016 0 1
97.2654 221.475 0 1
102.342 224.061 0 1
299.791 221.488 0 1
301.049 224.044 0 1
303.579 222.75 0 1
306.105 221.478 0 1
94.7863 226.562 0 1
97.2994 227.867 0 1
98.5339 225.322 0 1
103.618 227.905 0 1
101.072 226.616 0 1
299.771 227.889 0 1
298.506 225.332 0 1
302.309 226.595 0 1
303.537 229.144 0 1
306.037 227.826 0 1
304.815 225.284 0 1
98.5802 231.717 0 1
99.812 229.17 0 1
96.0661 230.415 0 1
102.351 230.462 0 1
101.093 233.018 0 1
104.898 231.749 0 1
298.491 231.734 0 1
