ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
25304
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
152.119 178.251 2.02673 1
154.109 178.27 0 1
152.068 176.207 4.02478 1
154.082 178.262 4.03477 1
156.105 176.251 0 1
156.092 176.248 4.0374 1
244.84 176.251 0 1
244.862 178.257 2.02805 1
244.864 176.239 4.03791 1
248.782 176.253 0 1
246.833 176.226 2.02967 1
246.827 178.275 0 1
248.866 178.221 2.03826 1
248.869 176.188 4.00881 1
246.879 178.256 4.03693 1
150.057 180.259 2.01603 1
150.1 182.265 0 1
150.013 182.255 4.01788 1
152.127 180.292 0 1
154.082 180.285 2.02716 1
152.066 182.292 2.03453 1
152.067 180.276 4.02909 1
248.848 180.241 0 1
246.864 180.269 2.02783 1
246.883 182.28 0 1
248.861 182.282 2.03887 1
248.874 180.25 4.03683 1
246.902 182.281 4.0405 1
250.834 180.212 2.03498 1
250.837 182.265 0 1
250.939 182.246 4.02695 1
148.167 184.302 0 1
148.053 186.308 2.01813 1
148.072 184.243 3.99606 1
150.09 184.305 2.02658 1
150.093 186.36 0 1
150.033 186.343 4.03023 1
152.066 184.318 0 1
152.05 186.337 2.02824 1
152.043 184.309 4.03522 1
248.873 184.292 0 1
248.895 186.309 2.02835 1
248.929 184.284 4.03924 1
250.911 184.258 2.0298 1
250.861 186.283 0 1
252.856 186.26 2.03082 1
250.895 186.297 4.0337 1
148.067 188.352 0 1
148.018 190.355 2.02562 1
147.959 188.345 4.01876 1
149.998 190.363 4.03695 1
150.048 188.35 2.03799 1
150.053 190.369 0 1
248.91 188.331 0 1
248.921 190.365 2.02896 1
248.931 188.335 4.03953 1
252.83 188.3 0 1
250.879 188.339 2.03714 1
250.886 190.352 0 1
252.931 190.324 2.009 1
252.932 188.286 4.01711 1
250.951 190.349 4.03239 1
146.078 192.36 2.02998 1
146.112 194.399 0 1
146.01 194.386 4.01577 1
148.076 192.375 0 1
148.064 194.43 2.03646 1
148.041 192.39 4.03153 1
150.043 192.392 2.02741 1
150.035 194.415 0 1
150.013 194.418 4.03849 1
252.875 192.361 0 1
250.924 192.374 2.03627 1
250.91 194.4 0 1
252.953 194.392 2.00509 1
252.983 192.358 4.00875 1
250.975 194.4 4.03054 1
146.017 196.423 2.00867 1
146.079 198.458 0 1
145.972 198.458 4.0085 1
148.063 196.443 0 1
148.03 198.465 2.03606 1
147.998 196.442 4.03166 1
149.997 198.47 4.03887 1
150.029 196.448 2.02861 1
150.03 198.47 0 1
252.887 196.425 0 1
250.936 196.428 2.03559 1
250.916 198.457 0 1
252.96 198.455 2.00458 1
252.995 196.423 4.0063 1
250.981 198.456 4.02986 1
146.007 200.492 2.0054 1
146.08 202.526 0 1
145.973 202.527 4.00858 1
148.05 200.492 0 1
148.031 202.518 2.03611 1
147.986 200.492 4.03081 1
149.997 202.513 4.03894 1
150.017 200.491 2.02864 1
150.03 202.512 0 1
252.889 200.485 0 1
250.939 200.484 2.03552 1
250.914 202.512 0 1
252.958 202.516 2.0047 1
252.998 200.485 4.00598 1
250.98 202.513 4.02999 1
146.019 204.562 2.00874 1
146.115 206.587 0 1
146.013 206.599 4.01602 1
148.065 204.541 0 1
148.067 206.554 2.03664 1
148 204.543 4.03182 1
150.03 204.534 2.0287 1
150.037 206.568 0 1
150.015 206.564 4.03873 1
252.884 204.546 0 1
250.933 204.54 2.03561 1
250.904 206.567 0 1
252.948 206.579 2.00581 1
252.992 204.548 4.00678 1
250.969 206.567 4.03105 1
146.083 208.626 2.03006 1
148.08 208.609 0 1
148.023 210.631 2.02602 1
148.045 208.595 4.03191 1
150.046 208.591 2.02761 1
150.058 210.614 0 1
150.002 210.621 4.03752 1
248.912 210.603 2.02914 1
252.868 208.611 0 1
250.911 208.586 2.03619 1
250.857 210.592 0 1
252.903 210.639 2.01703 1
252.972 208.614 4.01197 1
250.921 210.603 4.02906 1
148.075 212.635 0 1
148.065 214.682 2.01922 1
147.967 212.643 4.01995 1
150.054 212.633 2.03842 1
150.104 214.624 0 1
150.043 214.641 4.03141 1
152.061 214.641 2.02879 1
152.083 216.655 0 1
152.06 216.666 4.03596 1
248.894 212.628 0 1
248.901 214.65 2.03488 1
248.921 212.632 4.0357 1
248.845 216.648 0 1
248.907 216.664 4.02919 1
252.799 212.637 0 1
250.872 212.639 2.0264 1
250.867 214.673 0 1
252.894 212.698 3.99531 1
250.954 214.683 4.01756 1
148.186 216.689 0 1
148.093 216.752 3.99777 1
150.107 216.681 2.0284 1
150.134 218.712 0 1
150.1 220.721 2.03161 1
150.049 218.729 4.02398 1
152.114 220.727 0 1
152.096 218.673 2.03537 1
154.095 220.693 2.02626 1
152.085 220.718 4.03411 1
246.873 218.679 0 1
248.846 220.722 0 1
248.862 218.686 2.02545 1
246.877 220.696 2.03558 1
246.901 218.686 4.03569 1
248.932 220.73 4.01937 1
250.919 216.674 2.01537 1
250.789 218.689 0 1
250.881 218.745 3.99534 1
152.173 224.708 0 1
152.078 222.734 2.03648 1
154.131 222.689 0 1
154.12 224.736 2.029 1
152.085 224.772 4.00684 1
154.075 222.706 4.0352 1
156.116 224.714 0 1
156.09 224.724 4.0363 1
244.832 224.714 0 1
244.863 222.707 2.02777 1
244.861 224.726 4.03358 1
246.812 222.693 0 1
248.76 224.713 0 1
248.884 222.716 2.01698 1
246.827 224.742 2.03003 1
246.873 222.714 4.03117 1
248.845 224.771 3.99517 1
154.139 226.746 0 1
154.124 228.758 2.0335 1
154.059 226.767 4.02743 1
156.138 228.765 0 1
156.12 226.72 2.03476 1
158.134 228.735 2.02668 1
156.115 228.754 4.03588 1
240.838 228.756 0 1
240.851 228.763 4.04041 1
242.83 226.729 0 1
244.798 228.757 0 1
244.848 226.753 2.02754 1
242.824 228.736 2.03764 1
242.856 226.741 4.03738 1
244.877 228.77 4.03179 1
246.8 226.757 0 1
246.881 226.813 4.00374 1
156.181 232.689 0 1
156.118 230.752 2.04069 1
158.173 230.724 0 1
158.157 232.767 2.0303 1
156.108 232.766 4.00553 1
158.12 230.748 4.03671 1
160.167 232.749 0 1
160.138 230.755 2.02777 1
162.147 232.777 2.02417 1
160.138 232.773 4.03357 1
240.835 232.802 0 1
240.819 230.761 2.02929 1
238.816 232.781 2.02909 1
