ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
110501
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
164.154 166.168 2.02316 1
166.18 166.18 0 1
166.162 166.162 4.0324 1
168.196 164.167 0 1
170.203 164.158 2.02144 1
168.186 166.171 2.02135 1
170.207 166.175 0 1
168.177 164.148 4.03254 1
170.196 166.164 4.03128 1
172.226 164.162 0 1
174.241 164.156 2.02007 1
172.221 166.171 2.01985 1
174.242 166.172 0 1
172.215 164.15 4.03161 1
174.235 166.164 4.02974 1
176.263 164.156 0 1
178.279 164.15 2.01902 1
176.259 166.167 2.01873 1
178.28 166.166 0 1
176.256 164.148 4.03015 1
178.275 166.16 4.02836 1
180.3 164.147 0 1
182.317 164.14 2.0181 1
180.297 166.161 2.01796 1
182.317 166.159 0 1
180.295 164.141 4.02864 1
182.314 166.154 4.02723 1
184.336 164.137 0 1
186.354 164.132 2.01761 1
184.335 166.153 2.01735 1
186.355 166.151 0 1
184.333 164.132 4.02767 1
186.353 166.147 4.02648 1
188.373 164.13 0 1
190.391 164.125 2.0173 1
188.373 166.146 2.01697 1
190.392 166.145 0 1
188.371 164.124 4.02706 1
190.391 166.141 4.02598 1
192.411 164.124 0 1
194.43 164.12 2.01707 1
192.411 166.141 2.01673 1
194.43 166.141 0 1
192.41 164.119 4.02662 1
194.429 166.137 4.02566 1
196.449 164.12 0 1
198.468 164.118 2.01698 1
196.449 166.138 2.01659 1
198.468 166.139 0 1
196.448 164.116 4.02635 1
198.468 166.135 4.02551 1
200.487 164.12 0 1
202.506 164.119 2.01701 1
200.487 166.138 2.01656 1
202.506 166.14 0 1
200.487 164.115 4.02629 1
202.506 166.136 4.02554 1
204.525 164.122 0 1
206.545 164.123 2.01712 1
204.525 166.14 2.01662 1
206.544 166.143 0 1
204.526 164.117 4.02641 1
206.545 166.139 4.02573 1
208.563 164.127 0 1
210.583 164.128 2.01733 1
208.563 166.144 2.01677 1
210.582 166.148 0 1
208.564 164.122 4.0267 1
210.583 166.144 4.02608 1
212.601 164.133 0 1
214.62 164.135 2.01771 1
212.601 166.15 2.01703 1
214.619 166.154 0 1
212.603 164.128 4.02717 1
214.621 166.15 4.02664 1
216.639 164.141 0 1
216.639 166.156 2.0174 1
216.641 164.135 4.02789 1
220.675 164.148 0 1
218.658 164.143 2.01815 1
218.657 166.161 0 1
220.675 166.163 2.01806 1
220.678 164.142 4.02896 1
218.659 166.156 4.02749 1
224.707 164.158 0 1
222.693 164.15 2.01908 1
222.692 166.168 0 1
224.711 166.17 2.01922 1
224.714 164.149 4.03073 1
222.696 166.162 4.02883 1
228.739 164.164 0 1
226.726 164.158 2.02081 1
226.726 166.174 0 1
228.745 166.173 2.02043 1
228.75 164.152 4.03286 1
226.732 166.166 4.03068 1
232.767 164.169 0 1
230.76 164.161 2.02205 1
230.757 166.178 0 1
232.777 166.174 2.02187 1
232.785 164.151 4.03382 1
230.768 166.167 4.03238 1
234.783 166.183 0 1
234.801 166.165 4.03384 1
162.143 168.184 2.02336 1
160.135 170.203 2.02407 1
162.156 170.214 0 1
162.137 170.196 4.03308 1
164.167 168.196 0 1
166.171 168.186 2.02135 1
164.158 170.203 2.02144 1
166.175 170.207 0 1
164.148 168.177 4.03254 1
166.164 170.196 4.03128 1
168.19 168.19 0 1
170.203 168.186 2.01976 1
168.186 170.203 2.01976 1
170.204 170.204 0 1
168.179 168.179 4.03119 1
170.197 170.197 4.02941 1
172.222 168.187 0 1
174.239 168.184 2.01853 1
172.219 170.201 2.01844 1
174.239 170.201 0 1
172.215 168.18 4.02949 1
174.234 170.197 4.0278 1
176.259 168.184 0 1
178.277 168.18 2.01772 1
176.256 170.199 2.01754 1
178.277 170.198 0 1
176.254 168.179 4.02802 1
178.273 170.194 4.0266 1
180.297 168.179 0 1
182.315 168.174 2.01717 1
