ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
354
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
305.716 191.596 2.89144e-15 1
307.93 193.11 1.29965e-15 1
94.7947 196.251 1.58736e-15 1
305.775 194.703 2.89144e-15 1
307.984 196.218 1.29965e-15 1
94.7933 199.4 1.58736e-15 1
305.832 197.815 2.89144e-15 1
308.049 199.314 1.29965e-15 1
94.7967 202.548 1.58736e-15 1
305.753 200.682 2.89144e-15 1
307.813 202.376 1.29965e-15 1
94.806 205.698 1.58736e-15 1
305.208 203.323 2.89144e-15 1
304.292 205.85 2.89144e-15 1
307.27 205.036 1.29965e-15 1
94.8219 208.851 1.58736e-15 1
306.357 207.588 1.29965e-15 1
303.973 208.87 2.89144e-15 1
94.8149 212.014 1.58736e-15 1
306.17 210.473 1.29965e-15 1
303.886 211.987 2.89144e-15 1
94.5332 215.167 1.58736e-15 1
306.2 213.382 1.29965e-15 1
304.109 215.146 2.89144e-15 1
94.6986 218.023 1.58736e-15 1
303.722 218.264 2.89144e-15 1
96.4699 220.126 1.58736e-15 1
303.651 221.406 2.89144e-15 1
96.6492 223.085 1.58736e-15 1
103.099 224.614 1.82064e-15 1
297.565 223.043 1.27068e-14 1
303.639 224.37 2.89144e-15 1
96.8908 225.931 1.58736e-15 1
103.106 227.762 1.82064e-15 1
297.557 226.193 1.27068e-14 1
103.135 230.907 1.82064e-15 1
297.528 229.343 1.27068e-14 1
103.137 234.061 1.82064e-15 1
297.53 232.501 1.27068e-14 1
103.163 237.208 1.82064e-15 1
297.525 235.653 1.27068e-14 1
103.205 240.371 1.82064e-15 1
292.944 238.813 7.56583e-15 1
296.7 241.529 1.27068e-14 1
297.504 238.809 1.27068e-14 1
103.343 243.52 1.82064e-15 1
293.069 241.97 7.56583e-15 1
290.707 243.528 8.33097e-16 1
292.856 245.125 7.56583e-15 1
295.184 243.764 1.27068e-14 1
103.556 246.321 1.82064e-15 1
105.365 248.361 1.82064e-15 1
288.39 248.233 2.42489e-15 1
290.657 246.698 8.33097e-16 1
292.886 248.285 7.56583e-15 1
295.086 246.596 1.27068e-14 1
112.03 249.828 2.05391e-15 1
288.286 251.326 2.42489e-15 1
290.581 249.813 8.33097e-16 1
292.716 251.446 7.56583e-15 1
112.047 252.981 2.05391e-15 1
288.078 254.374 2.42489e-15 1
292.489 254.567 7.56583e-15 1
290.422 252.928 8.33097e-16 1
112.065 256.125 2.05391e-15 1
287.721 257.291 2.42489e-15 1
290.177 255.985 8.33097e-16 1
292.397 257.399 7.56583e-15 1
112.188 259.252 2.05391e-15 1
279.548 260.908 1.22402e-14 1
287.871 260.387 2.42489e-15 1
289.975 258.711 8.33097e-16 1
112.579 261.993 2.05391e-15 1
114.447 263.99 2.05391e-15 1
120.942 262.453 2.28719e-15 1
279.535 264.048 1.22402e-14 1
286.114 262.473 2.42489e-15 1
120.949 265.593 2.28719e-15 1
275.065 267.194 7.09928e-15 1
277.3 265.621 5.50748e-15 1
279.518 267.192 1.22402e-14 1
121.001 268.721 2.28719e-15 1
272.826 268.759 3.66545e-16 1
275.026 270.31 7.09928e-15 1
277.272 268.756 5.50748e-15 1
279.477 270.326 1.22402e-14 1
121.506 271.552 2.28719e-15 1
123.367 273.534 2.28719e-15 1
129.871 271.924 2.52046e-15 1
270.556 273.428 1.95834e-15 1
272.794 271.877 3.66545e-16 1
274.986 273.421 7.09928e-15 1
277.214 271.846 5.50748e-15 1
279.429 273.299 1.22402e-14 1
129.883 275.064 2.52046e-15 1
270.393 276.462 1.95834e-15 1
272.76 275.001 3.66545e-16 1
